epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2874,1.35097,2.2979,1.61578,0.43716,0.48562,0.37351,0.17881,1.69306,2.23664,2.3922,0.000473865,0.000473865,0.000473865
2,147.393,1.53046,1.89522,1.71,0.37887,0.53695,0.38898,0.14569,2.36222,3.77269,3.07014,0.000931385,0.000931385,0.000931385
3,221.252,1.57564,1.95648,1.74455,0.60352,0.56132,0.60053,0.30709,1.59168,1.67031,2.21557,0.00137004,0.00137004,0.00137004
4,293.624,1.54338,1.84743,1.69962,0.63716,0.67193,0.69383,0.38794,1.45348,1.42648,2.06578,0.00134412,0.00134412,0.00134412
5,365.732,1.48318,1.70136,1.65991,0.75589,0.72128,0.7996,0.50321,1.30716,1.1719,1.89516,0.00131582,0.00131582,0.00131582
6,438.059,1.40965,1.58641,1.61259,0.5662,0.67897,0.6908,0.41519,1.35655,1.73116,1.97954,0.00128753,0.00128753,0.00128753
7,512.046,1.35318,1.54618,1.57426,0.62408,0.76904,0.78676,0.48182,1.31232,1.34226,1.87898,0.00125923,0.00125923,0.00125923
8,584.549,1.31679,1.42419,1.54118,0.76673,0.64138,0.71167,0.43553,1.33996,1.34799,1.90376,0.00123094,0.00123094,0.00123094
9,656.23,1.27775,1.41308,1.52928,0.71401,0.81373,0.79455,0.51931,1.18439,1.06019,1.76874,0.00120265,0.00120265,0.00120265
10,730.921,1.24982,1.35791,1.51181,0.8171,0.84318,0.87254,0.60127,1.09099,0.91909,1.63634,0.00117435,0.00117435,0.00117435
11,802.645,1.24278,1.30075,1.49371,0.78218,0.82973,0.88949,0.61706,1.05146,0.95175,1.608,0.00114606,0.00114606,0.00114606
12,874.457,1.22572,1.26349,1.47994,0.74312,0.84036,0.86596,0.56951,1.11204,1.05733,1.6464,0.00111776,0.00111776,0.00111776
13,946.408,1.20088,1.25685,1.465,0.75029,0.82426,0.83241,0.57344,1.02873,0.97081,1.58621,0.00108947,0.00108947,0.00108947
14,1020.74,1.16321,1.19902,1.43352,0.79034,0.88313,0.88761,0.63187,0.99907,0.81719,1.56893,0.00106118,0.00106118,0.00106118
15,1092.93,1.14272,1.19218,1.42865,0.79478,0.84925,0.88672,0.63269,0.96925,0.8763,1.53648,0.00103288,0.00103288,0.00103288
16,1165.44,1.12814,1.13936,1.41113,0.85301,0.91209,0.92636,0.65327,0.97827,0.72599,1.53768,0.00100459,0.00100459,0.00100459
17,1239.11,1.10851,1.09778,1.38979,0.86138,0.86023,0.90933,0.66731,0.92329,0.75979,1.48569,0.000976293,0.000976293,0.000976293
18,1311.17,1.08421,1.10136,1.3869,0.7505,0.8493,0.90824,0.6779,0.89549,0.91438,1.44214,0.000947999,0.000947999,0.000947999
19,1382.85,1.09118,1.08484,1.3816,0.75131,0.88113,0.91023,0.68061,0.86867,0.8746,1.42112,0.000919704,0.000919704,0.000919704
20,1454.82,1.05594,1.0522,1.36619,0.85676,0.90418,0.92211,0.67197,0.93072,0.70883,1.4757,0.00089141,0.00089141,0.00089141
21,1528.72,1.06626,1.05069,1.37348,0.85026,0.8896,0.91165,0.6592,0.922,0.70815,1.49769,0.000863116,0.000863116,0.000863116
